ID,Prob1
0, 0.26
1, 0.47
2, 0.26
3, 0.26
4, 0.26
5, 0.26
6, 0.26
7, 0.26
8, 0.26
9, 0.26
10, 0.47
11, 0.26
12, 0.26
13, 0.47
14, 0.26
15, 0.47
16, 0.26
17, 0.47
18, 0.47
19, 0.26
20, 0.26
21, 0.45
22, 0.26
23, 0.26
24, 0.26
25, 0.47
26, 0.26
27, 0.26
28, 0.26
29, 0.32
30, 0.26
31, 0.26
32, 0.26
33, 0.47
34, 0.47
35, 0.26
36, 0.26
37, 0.26
38, 0.47
39, 0.26
40, 0.26
41, 0.47
42, 0.26
43, 0.47
44, 0.47
45, 0.26
46, 0.47
47, 0.26
48, 0.32
49, 0.47
50, 0.26
51, 0.47
52, 0.47
53, 0.26
54, 0.26
55, 0.26
56, 0.26
57, 0.26
58, 0.47
59, 0.26
60, 0.26
61, 0.26
62, 0.47
63, 0.47
64, 0.26
65, 0.26
66, 0.26
67, 0.47
68, 0.26
69, 0.47
70, 0.47
71, 0.26
72, 0.26
73, 0.36
74, 0.47
75, 0.47
76, 0.26
77, 0.47
78, 0.47
79, 0.26
80, 0.47
81, 0.26
82, 0.47
83, 0.47
84, 0.32
85, 0.26
86, 0.47
87, 0.47
88, 0.26
89, 0.26
90, 0.32
91, 0.26
92, 0.26
93, 0.47
94, 0.26
95, 0.26
96, 0.30
97, 0.26
98, 0.26
99, 0.47
100, 0.47
101, 0.26
102, 0.26
103, 0.47
104, 0.47
105, 0.47
106, 0.26
107, 0.47
108, 0.47
109, 0.26
110, 0.26
111, 0.47
112, 0.47
113, 0.26
114, 0.47
115, 0.26
116, 0.26
117, 0.47
118, 0.47
119, 0.33
120, 0.47
121, 0.47
122, 0.26
123, 0.32
124, 0.26
125, 0.47
126, 0.47
127, 0.47
128, 0.47
129, 0.47
130, 0.26
131, 0.26
132, 0.26
133, 0.47
134, 0.47
135, 0.26
136, 0.26
137, 0.47
138, 0.26
139, 0.47
140, 0.26
141, 0.26
142, 0.47
143, 0.26
144, 0.47
145, 0.26
146, 0.26
147, 0.26
148, 0.26
149, 0.26
150, 0.26
151, 0.47
152, 0.26
153, 0.47
154, 0.32
155, 0.26
156, 0.28
157, 0.26
158, 0.26
159, 0.47
160, 0.47
161, 0.26
162, 0.26
163, 0.26
164, 0.47
165, 0.26
166, 0.26
167, 0.26
168, 0.26
169, 0.47
170, 0.47
171, 0.47
172, 0.47
173, 0.26
174, 0.26
175, 0.26
176, 0.47
177, 0.26
178, 0.47
179, 0.26
180, 0.47
181, 0.26
182, 0.47
183, 0.26
184, 0.26
185, 0.47
186, 0.26
187, 0.26
188, 0.26
189, 0.26
190, 0.26
191, 0.47
192, 0.26
193, 0.47
194, 0.47
195, 0.26
196, 0.31
197, 0.47
198, 0.47
199, 0.47
200, 0.26
201, 0.47
202, 0.26
203, 0.47
204, 0.26
205, 0.26
206, 0.26
207, 0.26
208, 0.26
209, 0.26
210, 0.26
211, 0.26
212, 0.47
213, 0.47
214, 0.26
215, 0.26
216, 0.47
217, 0.47
218, 0.47
219, 0.26
220, 0.47
221, 0.26
222, 0.47
223, 0.47
224, 0.47
225, 0.26
226, 0.47
227, 0.47
228, 0.26
229, 0.47
230, 0.32
231, 0.47
232, 0.26
233, 0.26
234, 0.26
235, 0.26
236, 0.26
237, 0.26
238, 0.26
239, 0.26
240, 0.47
241, 0.26
242, 0.26
243, 0.32
244, 0.26
245, 0.47
246, 0.47
247, 0.26
248, 0.47
249, 0.26
250, 0.26
251, 0.47
252, 0.26
253, 0.26
254, 0.26
255, 0.47
256, 0.47
257, 0.47
258, 0.47
259, 0.47
260, 0.26
261, 0.26
262, 0.26
263, 0.26
264, 0.47
265, 0.26
266, 0.26
267, 0.26
268, 0.35
269, 0.26
270, 0.26
271, 0.37
272, 0.47
273, 0.32
274, 0.47
275, 0.26
276, 0.26
277, 0.26
278, 0.26
279, 0.26
280, 0.26
281, 0.47
282, 0.47
283, 0.26
284, 0.47
285, 0.47
286, 0.26
287, 0.26
288, 0.26
289, 0.26
290, 0.47
291, 0.26
292, 0.26
293, 0.26
294, 0.26
295, 0.26
296, 0.47
297, 0.47
298, 0.47
299, 0.26
300, 0.26
301, 0.26
302, 0.47
303, 0.26
304, 0.26
305, 0.26
306, 0.26
307, 0.26
308, 0.26
309, 0.26
310, 0.28
311, 0.26
312, 0.26
313, 0.32
314, 0.47
315, 0.25
316, 0.26
317, 0.26
318, 0.26
319, 0.26
320, 0.26
321, 0.26
322, 0.26
323, 0.26
324, 0.26
325, 0.26
326, 0.26
327, 0.26
328, 0.47
329, 0.47
330, 0.47
331, 0.26
332, 0.47
333, 0.26
334, 0.26
335, 0.26
336, 0.36
337, 0.47
338, 0.47
339, 0.26
340, 0.47
341, 0.47
342, 0.39
343, 0.26
344, 0.47
